figure_id,Cell-specific_transcription,Intercellular_protein_RNA_discordance,Comments
2138372,no,no,
2138694,yes,yes,
2137980,no,no,
2138786,no,yes,
2138552,no,no,
2138256,yes,no,
2138356,no,no,
2138564,no,no,
2138568,no,no,
2138476,no,no,
2138147,no,no,
2138708,no,no,
2138024,yes,yes,
2137873,yes,no,
2138055,yes,no,
2138604,no,no,
2138767,yes,no,
2138136,no,no,
2138667,no,no,
2138927,no,no,
2138827,no,no,
2138939,no,no,
2138751,no,no,
2138597,yes,no,
2138848,no,no,
2138489,yes,no,
2138718,no,no,
2138813,no,no,
2137768,no,no,
2138862,no,no,
2137900,no,no,
2138614,no,no,
2138714,no,no,
2138138,no,no,
2138722,yes,yes,
2137928,no,yes,
2138499,no,no,
2138753,no,no,
2138653,no,no,
2137924,no,no,
2138730,no,no,
2138161,no,no,
2137990,no,no,
2137890,no,no,
2138784,no,no,
2138891,no,no,
2138370,no,no,
2138509,no,no,
2138574,no,yes,
2138180,no,no,
2138578,no,no,
2138649,yes,yes,
2138921,no,no,
2138821,no,no,
2138065,no,no,
2138583,no,no,
2138745,no,no,
2138738,yes,no,
2137804,no,no,
2138610,no,no,
2138041,no,no,
2138710,no,no,
2138905,no,no,
2138874,no,no,
2138761,no,no,
2138399,no,no,
2138401,no,no,
2138317,no,no,
2138309,no,yes,
2138425,no,yes,
2138374,no,no,
2138692,no,no,
2138525,no,no,
2138274,no,no,
2137781,yes,no,
2138529,no,yes,
2138429,no,no,
2138266,no,no,
2138511,no,no,
2138503,no,no,
2138252,no,no,
2138460,no,yes,
2138548,no,no,
2138782,yes,no,
2138435,no,no,
2137896,yes,no,
2138889,no,no,
2138315,yes,no,
2138831,no,yes,
2138852,no,no,
2137758,no,no,
2138481,no,no,
2138923,no,no,
2138655,no,no,
2138700,no,no,
2138051,no,no,
2137969,yes,no,
2138907,no,no,
2138120,no,no,
2138671,no,no,
2138771,no,no,
2138945,no,no,
2138938,no,no,
2138588,no,no,
2138861,no,no,
2138046,no,no,
2138280,yes,no,
2138873,no,yes,
2137811,no,no,
2138129,no,no,
2138678,no,no,
2138029,no,no,
2138810,no,no,
2137767,no,no,
2138418,yes,no,
2138406,no,no,
2138091,no,no,
2138569,no,yes,
2138514,no,no,
2138245,no,no,
2138441,yes,no,
2138422,no,no,
2137786,no,no,
2138361,no,no,
2138787,no,no,
2138404,yes,no,
2138785,no,no,
2138890,no,no,
2138451,yes,no,
2138271,no,no,
2138371,no,yes,
2138543,no,no,
2138494,no,no,
2138623,no,no,
2137937,no,no,
2138928,no,no,
2138828,no,no,
2137846,no,no,
2138486,no,no,
2137813,no,no,
2138664,no,no,
2138776,yes,no,
2138524,no,no,
2138547,no,no,
2137792,no,no,
2138279,no,no,
2138455,no,no,
2138563,no,no,
2138343,no,no,
2138471,no,no,
2137966,no,no,
2138123,no,no,
2138603,no,no,
2138019,no,no,
2138107,no,no,
2138832,no,yes,
2138739,no,no,
2137933,no,no,
2137915,no,no,
2138601,no,no,
2138701,no,no,
2138770,no,no,
2137907,yes,no,
2138906,no,no,
2138388,no,yes,
2138592,no,no,
2138174,no,no,
2137952,no,no,
2138830,no,yes,
2138629,no,no,
2138105,no,no,
2138166,no,no,
2138737,yes,no,
2137755,no,no,
2138922,no,no,
2138888,no,no,
2138896,no,no,
2138783,yes,no,
2138318,no,no,
2138314,no,no,
2138322,yes,no,
2138330,no,no,
2138353,no,yes,
